iter	Passed	Remaining
0	1	1711
1	2	1568
2	3	1529
3	4	1482
4	5	1454
5	6	1433
6	7	1416
7	8	1399
8	9	1393
9	10	1389
10	11	1379
11	11	1370
12	12	1361
13	13	1354
14	14	1350
15	15	1346
16	16	1347
17	17	1344
18	18	1343
19	19	1341
20	20	1339
21	21	1335
22	22	1333
23	23	1335
24	24	1334
25	25	1332
26	26	1332
27	27	1332
28	28	1332
29	29	1334
30	30	1336
31	31	1337
32	32	1340
33	33	1339
34	34	1338
35	35	1337
36	36	1336
37	37	1337
38	38	1334
39	39	1336
40	40	1335
41	41	1337
42	42	1336
43	43	1334
44	44	1332
45	45	1333
46	46	1329
47	47	1328
48	48	1327
49	49	1325
50	50	1326
51	51	1326
52	52	1327
53	53	1325
54	54	1324
55	55	1325
56	56	1324
57	57	1323
58	58	1322
59	59	1320
60	60	1319
61	61	1318
62	62	1316
63	63	1313
64	64	1312
65	65	1311
66	66	1309
67	67	1309
68	68	1307
69	69	1308
70	70	1307
71	71	1306
72	72	1306
73	73	1306
74	74	1304
75	75	1303
76	76	1301
77	77	1300
78	78	1299
79	79	1297
80	80	1298
81	81	1299
82	82	1298
83	83	1298
84	84	1297
85	86	1298
86	86	1295
87	88	1296
88	89	1295
89	90	1294
90	91	1293
91	92	1292
92	93	1291
93	94	1289
94	95	1288
95	96	1288
96	97	1288
97	98	1286
98	99	1285
99	100	1284
100	101	1282
101	102	1282
102	103	1282
103	104	1280
104	105	1279
105	106	1278
106	107	1277
107	108	1276
108	109	1275
109	110	1274
110	111	1273
111	112	1272
112	113	1272
113	114	1271
114	115	1269
115	116	1268
116	117	1267
117	118	1265
118	119	1264
119	120	1264
120	121	1263
121	122	1261
122	123	1260
123	124	1259
124	125	1259
125	126	1258
126	127	1258
127	128	1257
128	129	1256
129	130	1256
130	131	1255
131	132	1254
132	133	1253
133	134	1252
134	135	1251
135	136	1251
136	137	1250
137	138	1249
138	139	1248
139	140	1248
140	141	1246
141	142	1245
142	143	1244
143	144	1243
144	145	1242
145	146	1240
146	147	1240
147	148	1238
148	149	1237
149	150	1236
150	151	1235
151	152	1234
152	153	1232
153	154	1231
154	155	1231
155	156	1230
156	157	1228
157	158	1227
158	159	1227
159	160	1226
160	161	1224
161	162	1224
162	163	1223
163	164	1222
164	165	1221
165	166	1220
166	167	1219
167	168	1218
168	169	1217
169	170	1215
170	171	1214
171	172	1213
172	173	1212
173	174	1211
174	175	1210
175	176	1209
176	177	1208
177	178	1207
178	179	1206
179	180	1205
180	181	1204
181	182	1202
182	183	1201
183	184	1200
184	185	1199
185	186	1198
186	187	1197
187	188	1195
188	189	1194
189	190	1194
190	191	1193
191	192	1192
192	193	1191
193	194	1190
194	195	1189
195	196	1188
196	197	1187
197	198	1186
198	199	1185
199	200	1184
200	201	1183
201	202	1182
202	203	1182
203	204	1181
204	205	1180
205	206	1179
206	207	1178
207	208	1179
208	209	1179
209	210	1178
210	212	1177
211	213	1176
212	214	1175
213	215	1174
214	216	1173
215	217	1172
216	217	1171
217	218	1170
218	219	1169
219	221	1168
220	222	1168
221	223	1167
222	224	1166
223	225	1164
224	226	1163
225	227	1162
226	228	1161
227	229	1160
228	230	1159
229	231	1158
230	232	1157
231	233	1156
232	234	1155
233	235	1154
234	236	1153
235	237	1152
236	238	1151
237	239	1150
238	240	1150
239	241	1148
240	242	1147
241	243	1146
242	244	1145
243	245	1144
244	246	1143
245	247	1142
246	248	1142
247	249	1141
248	250	1139
249	251	1138
250	252	1137
251	253	1136
252	254	1135
253	255	1134
254	256	1133
255	257	1132
256	258	1131
257	259	1130
258	260	1129
259	261	1128
260	262	1128
261	263	1127
262	264	1126
263	265	1125
264	266	1124
265	267	1123
266	268	1122
267	269	1121
268	270	1120
269	271	1119
270	272	1118
271	273	1117
272	274	1117
273	275	1116
274	276	1115
275	277	1114
276	278	1113
277	279	1112
278	280	1111
279	281	1110
280	282	1109
281	283	1108
282	284	1107
283	285	1106
284	286	1105
285	287	1104
286	288	1103
287	289	1102
288	290	1101
289	291	1100
290	292	1099
291	293	1098
292	294	1096
293	295	1096
294	296	1095
295	297	1094
296	298	1093
297	300	1092
298	300	1091
299	301	1090
300	302	1089
301	304	1088
302	305	1087
303	306	1086
304	307	1085
305	308	1085
306	309	1083
307	310	1082
308	311	1081
309	312	1080
310	313	1079
311	314	1079
312	315	1078
313	316	1077
314	317	1076
315	318	1075
316	319	1074
317	320	1073
318	321	1072
319	322	1071
320	323	1070
321	324	1069
322	325	1068
323	326	1066
324	327	1065
325	328	1064
326	329	1063
327	330	1062
328	331	1061
329	332	1060
330	333	1059
331	334	1058
332	335	1057
333	336	1056
334	337	1055
335	338	1054
336	339	1052
337	340	1051
338	341	1050
339	342	1049
340	343	1049
341	344	1048
342	345	1047
343	346	1046
344	347	1045
345	348	1044
346	349	1043
347	350	1042
348	351	1041
349	352	1040
350	353	1039
351	354	1038
352	355	1037
353	356	1036
354	357	1035
355	358	1034
356	359	1033
357	360	1032
358	361	1031
359	362	1030
360	363	1029
361	364	1029
362	366	1028
363	367	1027
364	368	1026
365	369	1025
366	370	1024
367	371	1023
368	372	1022
369	373	1021
370	373	1020
371	374	1018
372	375	1018
373	376	1017
374	377	1016
375	378	1014
376	379	1013
377	380	1012
378	381	1011
379	382	1010
380	383	1009
381	384	1008
382	385	1007
383	386	1006
384	387	1005
385	388	1004
386	389	1003
387	390	1001
388	391	1000
389	392	999
390	393	998
391	394	997
392	395	996
393	396	995
394	397	994
395	398	993
396	399	992
397	400	991
398	401	990
399	402	988
400	403	987
401	404	986
402	405	985
403	406	984
404	407	983
405	408	982
406	409	981
407	410	981
408	411	980
409	412	979
410	413	977
411	414	976
412	415	976
413	416	975
414	417	974
415	418	973
416	419	972
417	420	971
418	421	970
419	422	969
420	423	968
421	424	967
422	426	966
423	427	966
424	428	965
425	429	964
426	430	963
427	431	962
428	432	961
429	433	960
430	434	959
431	435	958
432	436	957
433	437	956
434	438	954
435	439	953
436	440	952
437	441	952
438	442	950
439	443	949
440	444	948
441	445	947
442	446	946
443	447	945
444	448	944
445	449	943
446	450	942
447	451	941
448	452	941
449	453	940
450	454	939
451	455	938
452	456	937
453	457	936
454	458	935
455	459	934
456	460	933
457	461	932
458	462	931
459	463	930
460	464	929
461	465	928
462	466	926
463	467	925
464	468	924
465	469	923
466	470	922
467	471	922
468	472	921
469	473	920
470	474	919
471	475	918
472	476	917
473	477	916
474	478	915
475	479	914
476	480	913
477	481	912
478	482	911
479	483	910
480	484	909
481	485	908
482	486	906
483	487	905
484	488	904
485	489	903
486	490	902
487	491	901
488	492	900
489	493	899
490	494	898
491	495	897
492	496	896
493	497	896
494	498	895
495	500	894
496	501	893
497	502	892
498	503	891
499	504	890
500	505	889
501	506	888
502	507	887
503	508	886
504	509	885
505	510	884
506	511	883
507	512	882
508	513	881
509	514	880
510	515	879
511	516	878
512	517	877
513	518	876
514	519	875
515	520	874
516	521	873
517	522	872
518	523	871
519	524	870
520	525	869
521	526	868
522	527	867
523	528	866
524	529	865
525	530	864
526	531	863
527	532	862
528	533	861
529	534	860
530	535	859
531	536	858
532	537	857
533	538	856
534	539	855
535	540	854
536	541	853
537	542	852
538	543	851
539	544	850
540	545	849
541	546	848
542	547	847
543	548	846
544	549	845
545	550	844
546	551	843
547	552	842
548	553	841
549	554	840
550	555	839
551	556	838
552	557	837
553	558	836
554	559	835
555	560	834
556	561	833
557	562	831
558	563	830
559	564	829
560	565	828
561	566	827
562	567	826
563	568	825
564	569	824
565	570	823
566	571	822
567	572	821
568	573	820
569	574	819
570	575	818
571	576	817
572	577	816
573	578	815
574	579	814
575	580	813
576	581	812
577	582	811
578	583	810
579	584	809
580	585	808
581	586	807
582	587	806
583	589	805
584	589	804
585	591	803
586	591	802
587	592	801
588	593	800
589	594	799
590	595	798
591	596	797
592	597	796
593	598	795
594	599	794
595	600	793
596	601	792
597	602	791
598	603	790
599	604	789
600	605	788
601	606	787
602	607	786
603	608	785
604	610	784
605	611	783
606	612	782
607	613	781
608	614	780
609	615	779
610	616	778
